labels,type,theta,radius,X,Y,Z,sph_theta,sph_phi,sph_radius,urchan,ref
Fp1,,-17.926,0.514988888888889,80.7840137690914,26.1330144040702,-4.00108454195971,17.926,-2.69799999999999,85,1,
Fpz,,0,0.506688888888889,84.9812336134462,-0,-1.78603850374883,-0,-1.20399999999999,85,2,
Fp2,,17.926,0.514988888888889,80.7840137690914,-26.1330144040702,-4.00108454195971,-17.926,-2.69799999999999,85,3,
F7,,-53.913,0.528083333333333,49.8713779489202,68.4233350269539,-7.48951836002624,53.913,-5.055,85,4,
F3,,-39.947,0.344594444444444,57.551063393099,48.2004273175388,39.8697116710185,39.947,27.973,85,5,
Fz,,0,0.253377777777778,60.7384809484625,-0,59.4629038314919,-0,44.392,85,6,
F4,,39.897,0.3445,57.5840261068105,-48.1425964684523,39.8919834378528,-39.897,27.99,85,7,
F8,,53.867,0.528066666666667,49.9265268118817,-68.3835902976096,-7.48508507040089,-53.867,-5.052,85,8,
FC5,,-69.332,0.408233333333333,28.7628234353576,76.2473645099531,24.1669069868857,69.332,16.518,85,9,
FC1,,-44.925,0.181183333333333,32.4361838987395,32.3513771312283,71.5980612293391,44.925,57.387,85,10,
FC2,,44.925,0.181183333333333,32.4361838987395,-32.3513771312283,71.5980612293391,-44.925,57.387,85,11,
FC6,,69.332,0.408233333333333,28.7628234353576,-76.2473645099531,24.1669069868857,-69.332,16.518,85,12,
T7,,-90,0.533183333333333,5.17649253748256e-15,84.5385386396573,-8.84508251353112,90,-5.973,85,13,
C3,,-90,0.266688888888889,3.86812533613566e-15,63.1712807125907,56.8716914917349,90,41.996,85,14,
Cz,,0,0,5.20474889637625e-15,-0,85,-0,90,85,15,
C4,,90,0.266666666666667,3.86788221025119e-15,-63.1673101655785,56.876101540503,-90,42,85,16,
T8,,90,0.533183333333333,5.17649253748256e-15,-84.5385386396573,-8.84508251353112,-90,-5.973,85,17,
CP5,,-110.668,0.408233333333333,-28.7628234353576,76.2473645099531,24.1669069868857,110.668,16.518,85,18,
CP1,,-135.075,0.181183333333333,-32.4361838987395,32.3513771312283,71.5980612293391,135.075,57.387,85,19,
CP2,,135.075,0.181183333333333,-32.4361838987395,-32.3513771312283,71.5980612293391,-135.075,57.387,85,20,
CP6,,110.668,0.408233333333333,-28.7628234353576,-76.2473645099531,24.1669069868857,-110.668,16.518,85,21,
